ABC,Water,SMBS,Gluten%,SV ml,Moisture,Datetime
6.1,18,130,11.48,27,12.98,2023-04-25:14
6.1,18,130,11.48,27,12.98,2023-04-25:15
6.1,18,130,11.48,27,12.98,2023-04-25:15
6.1,18,130,11.48,27,12.98,2023-04-25:16
5.9,18,130,11.48,27,12.98,2023-04-25:16
5.9,18,130,11.48,27,12.98,2023-04-25:17
5.9,18,130,11.48,27,12.98,2023-04-25:17
5.9,18,130,11.48,27,12.98,2023-04-25:18
5.9,18,130,11.48,27,12.98,2023-04-25:18
5.9,18,130,11.48,27,12.98,2023-04-25:18
5.9,18,130,11.48,27,12.98,2023-04-25:19
5.9,18,130,11.48,27,12.98,2023-04-25:20
5.9,18,130,11.48,27,12.98,2023-04-25:21
5.9,18,130,11.48,27,12.98,2023-04-25:22
5.9,18,130,11.48,27,12.98,2023-04-25:22
5.9,18,130,11.48,27,12.98,2023-04-25:23
5.9,18,130,11.48,27,12.98,2023-04-25:00
6.2,18,130,11.48,27,12.98,2023-04-25:00
6.2,18,130,11.48,27,12.98,2023-04-25:01
6.2,18,130,11.48,27,12.98,2023-04-25:01
6.2,18,130,11.48,27,12.98,2023-04-25:02
6.2,18,130,11.48,27,12.98,2023-04-25:02
5.9,18,130,11.48,27,12.98,2023-04-25:03
5.9,18,130,11.48,27,12.98,2023-04-25:04
5.9,18,130,11.48,27,12.98,2023-04-25:04
5.9,18,130,11.48,27,12.98,2023-04-25:05
5.9,18,130,11.48,27,12.98,2023-04-25:05
6.5,18,130,11.48,27,12.98,2023-04-26:08
6.5,18,130,11.48,27,12.98,2023-04-26:08
6.3,18,130,11.48,27,12.98,2023-04-26:09
6.3,18,130,11.48,27,12.98,2023-04-26:09
6.3,18,130,11.48,27,12.98,2023-04-26:09
6.3,18,130,11.48,27,12.98,2023-04-26:10
6.1,18,130,11.48,27,12.98,2023-04-26:10
6.1,18,130,11.48,27,12.98,2023-04-26:10
6.1,18,130,11.48,27,12.98,2023-04-26:11
6.1,18,130,11.48,27,12.98,2023-04-26:11
6.1,18,130,11.48,27,12.98,2023-04-26:11
6.1,18,130,11.48,27,12.98,2023-04-26:12
6.1,18,130,11.48,27,12.98,2023-04-26:12
6.1,18,130,11.48,27,12.98,2023-04-26:12
6.1,18,130,11.48,27,12.98,2023-04-26:13
6.1,18,130,11.48,27,12.98,2023-04-26:13
6.1,18,130,11.48,27,12.98,2023-04-26:14
6.1,18,130,11.48,27,12.98,2023-04-26:14
6.1,18,130,11.48,27,12.98,2023-04-26:15
6.1,18,130,11.48,27,12.98,2023-04-26:15
6.1,18,130,11.48,27,12.98,2023-04-26:16
6.1,18,130,11.48,27,12.98,2023-04-26:17
6.1,18,130,11.48,27,12.98,2023-04-26:17
6.1,18,130,11.48,27,12.98,2023-04-26:18
6.1,18,130,11.48,27,12.98,2023-04-26:18
5.9,18,110,11.48,27,12.98,2023-04-26:20
5.9,18,110,11.48,27,12.98,2023-04-26:20
5.9,18,110,11.48,27,12.98,2023-04-26:22
5.9,18,110,11.48,27,12.98,2023-04-26:22
5.9,18,110,11.48,27,12.98,2023-04-26:23
5.9,18,110,11.48,27,12.98,2023-04-26:23
5.9,18,110,11.48,27,12.98,2023-04-26:00
5.9,18,110,11.48,27,12.98,2023-04-26:00
5.9,18,110,11.48,27,12.98,2023-04-26:01
6.2,18,110,11.48,27,12.98,2023-04-26:01
6.2,18,110,11.48,27,12.98,2023-04-26:01
6.2,18,110,11.48,27,12.98,2023-04-26:02
6.2,18,110,11.48,27,12.98,2023-04-26:02
6.2,18,110,11.48,27,12.98,2023-04-26:03
6.2,18,110,11.48,27,12.98,2023-04-26:03
6.2,18,110,11.48,27,12.98,2023-04-26:04
6.2,18,110,11.48,27,12.98,2023-04-26:04
6.2,18,110,11.48,27,12.98,2023-04-26:05
6.2,18,110,11.48,27,12.98,2023-04-26:05
6.2,18,110,11.48,27,12.98,2023-04-26:05
6.2,18,110,11.48,27,12.98,2023-04-26:06
6.7,22,110,11.48,27,12.98,2023-04-27:07
6.7,22,110,11.48,27,12.98,2023-04-27:07
6.7,22,110,11.48,27,12.98,2023-04-27:08
6.7,22,110,11.48,27,12.98,2023-04-27:08
6.7,22,110,11.48,27,12.98,2023-04-27:09
6.7,22,110,11.48,27,12.98,2023-04-27:09
6.7,22,110,11.48,27,12.98,2023-04-27:09
6.7,22,110,11.48,27,12.98,2023-04-27:10
6.5,22,110,11.48,27,12.98,2023-04-27:10
6.5,22,110,11.48,27,12.98,2023-04-27:11
6.5,22,110,11.48,27,12.98,2023-04-27:11
6.5,22,110,11.48,27,12.98,2023-04-27:12
6.5,22,110,11.48,27,12.98,2023-04-27:12
6.5,22,110,11.48,27,12.98,2023-04-27:13
6.2,22,110,11.48,27,12.98,2023-04-27:13
6.2,22,110,11.48,27,12.98,2023-04-27:13
6,22,110,11.48,27,12.98,2023-04-27:14
6,22,110,11.48,27,12.98,2023-04-27:14
5.8,22,110,11.48,27,12.98,2023-04-27:16
5.8,22,110,11.48,27,12.98,2023-04-27:17
6.2,22,110,11.48,27,12.98,2023-04-27:17
6.5,22,110,11.48,27,12.98,2023-04-27:18
6.5,22,110,11.48,27,12.98,2023-04-27:18
